ReportTypeLabel,ReportTypeValue,CompanyLabel,CompanyValue,ProductLabel,ProductValue,StateLabel,StateValue,ReportLevelLabel,ReportLevelValue
Producer,Producer,USIC,USIC,Texas Ranger,Texas Ranger,Alabama,al,Detail,Detail
Group,Group,FCIC,FCIC,Road warrior,Road warrior,Alaska,ak,Summary,Summary
,,USIC-TRMGA,USIC-TRMGA,Maverick,Maverick,Arizona,az,,
,,FCIC-LSMGA,FCIC-LSMGA,FR Bond,FR Bond,Arkansas,ar,,
,,WVNAIC,WVNAIC,Ridge Runner,Ridge Runner,California,ca,,
,,,,,,Colorado,co,,
,,,,,,Connecticut,ct,,
,,,,,,Delaware,de,,
,,,,,,Florida,fl,,
,,,,,,Georgia,ga,,
,,,,,,Hawaii,hi,,
,,,,,,Idaho,id,,
,,,,,,Illinois,il,,
,,,,,,Indiana,in,,
,,,,,,Iowa,ia,,
,,,,,,Kansas,ks,,
,,,,,,Kentucky,ky,,
,,,,,,Louisiana,la,,
,,,,,,Maine,me,,
,,,,,,Maryland,md,,
,,,,,,Massachusetts,ma,,
,,,,,,Michigan,mi,,
,,,,,,Minnesota,mn,,
,,,,,,Mississippi,ms,,
,,,,,,Missouri,mo,,
,,,,,,Montana,mt,,
,,,,,,Nebraska,ne,,
,,,,,,Nevada,nv,,
,,,,,,New Hampshire,nh,,
,,,,,,New Jersey,nj,,
,,,,,,New Mexico,nm,,
,,,,,,New York,ny,,
,,,,,,North Carolina,nc,,
,,,,,,North Dakota,nd,,
,,,,,,Ohio,oh,,
,,,,,,Oklahoma,ok,,
,,,,,,Oregon,or,,
,,,,,,Pennsylvania,pa,,
,,,,,,Rhode Island,ri,,
,,,,,,South Carolina,sc,,
,,,,,,South Dakota,sd,,
,,,,,,Tennessee,tn,,
,,,,,,Texas,tx,,
,,,,,,Utah,ut,,
,,,,,,Vermont,vt,,
,,,,,,Virginia,va,,
,,,,,,Washington,wa,,
,,,,,,West Virginia,wv,,
,,,,,,Wisconsin,wi,,
,,,,,,Wyoming,wy,,
